job_id	path	bc_1	bc_2	sample
17114	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	B_3095_1_50261
17114	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	D_3119_1_50134
17114	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	J_3119_1_50140
17115	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	H_3062_1_50276
17115	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	J_3062_1_50278
17115	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	K_3062_1_50279
17115	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	I_3115_1_50105
17116	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	C_3062_1_50273
17116	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	L_3116_1_50120
17116	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	K_3117_1_50258
17116	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	H_3117_1_50255
17117	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	I_3062_1_50277
17117	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	C_3117_1_50251
17117	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	L_3117_1_50259
17117	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	B_3120_1_50144
17118	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	L_3094_1_50098
17118	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	C_3095_1_50262
17118	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	D_3095_1_50263
17118	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	H_3116_1_50116
17119	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	H_3094_1_50094
17119	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	H_3115_1_50104
17119	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	J_3115_1_50106
17119	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	C_3119_1_50133
17120	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	D_3118_1_50124
17120	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	F_3119_1_50136
17120	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	D_3120_1_50146
17120	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	A_3120_1_50143
17122	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	I_3095_1_50267
17122	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	L_3115_1_50108
17122	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	E_3119_1_50135
17122	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	B_3119_1_50132
17123	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	L_3062_1_50280
17123	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	K_3115_1_50107
17123	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	B_3116_1_50110
17123	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	A_3119_1_50131
17124	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	I_3094_2_50095
17124	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	A_3095_2_50260
17124	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	E_3116_2_50113
17124	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	I_3116_2_50117
17125	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	C_3094_2_50091
17125	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	B_3117_2_50250
17125	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	G_3120_2_50147
17125	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	K_3120_2_50151
17126	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	B_3115_2_50100
17126	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	K_3118_2_50129
17126	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	B_3118_2_50122
17126	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	G_3119_2_50137
17127	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	K_3094_2_50097
17128	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	J_3062_2_50278
17128	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	D_3094_2_50092
17128	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	F_3095_2_50264
17129	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	G_3117_2_50254
17129	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	I_3117_2_50256
17129	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	J_3118_2_50128
17129	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	I_3118_2_50127
17130	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	H_3062_2_50276
17130	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	H_3115_2_50104
17130	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	J_3115_2_50106
17130	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	D_3120_2_50146
17131	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	D_3115_2_50102
17131	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	D_3117_2_50252
